trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-81.5930899842781,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-120.0648949703108,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-99.7969380219877,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-128.27716954222888,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-181.54367660330777,"{0: 13, 1: 3, 2: 10, 3: 4, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-86.00256669010456,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-159.91642172781363,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,13,-61.209580458456365,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,8.330588319542448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-55.69439237619505,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-50.349129122580635,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-18.975061238549134,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-15.475112752935543,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,17.053593760458043,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,17.44578746187255,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,28.911012646879687,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,3,-31.546939914878898,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,6,25.787114725906317,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,17,19.267756229709903,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,6,21.962188123422834,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,25.88984226855127,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,16,6.389564781363492,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,0,-55.271513793075144,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-15.179446128906442,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,0,-74.27945999402682,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,8,22.572707365511015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-88.87750181094144,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",30,0,-2.3996224057347737,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",35,0,-2.1179467757968418,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",30,0,8.104532855687156,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
