trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.9975}",25,4,-145.61015432617899,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 2}",1
2,False,"{'a': 0.4, 'e': 0.9950062500000001}",35,0,-221.1820405733232,"{0: 20, 1: 4, 2: 7, 3: 0, 4: 4}",0
3,False,"{'a': 0.4, 'e': 0.9925187343750002}",25,0,-68.64101134046261,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.9900374375390627}",25,0,-98.41777272940632,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9875623439452151}",20,0,-119.44587946711522,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.4, 'e': 0.9850934380853521}",20,0,-79.94013832165359,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.9826307044901388}",25,0,-49.26637221359084,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.4, 'e': 0.9801741277289135}",30,0,-128.14460813609992,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9777236924095912}",30,9,-81.24234826836712,"{0: 12, 1: 1, 2: 7, 3: 1, 4: 0}",1
10,False,"{'a': 0.4, 'e': 0.9752793831785673}",25,0,-149.0598070838066,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.972841184720621}",25,13,-73.41886391615668,"{0: 7, 1: 1, 2: 2, 3: 1, 4: 1}",1
12,False,"{'a': 0.4, 'e': 0.9704090817588195}",20,0,-56.788248312414126,"{0: 15, 1: 1, 2: 1, 3: 3, 4: 0}",0
13,False,"{'a': 0.4, 'e': 0.9679830590544225}",25,0,-83.76986126916755,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 0}",0
14,False,"{'a': 0.4, 'e': 0.9655631014067865}",20,6,-104.0473391511394,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
15,False,"{'a': 0.4, 'e': 0.9631491936532696}",25,0,-151.76971865207693,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.9607413206691364}",20,0,-86.04124777252017,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.9583394673674637}",25,8,-111.52055920405297,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 2}",1
18,False,"{'a': 0.4, 'e': 0.955943618699045}",30,2,-164.79116376217993,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 2}",1
19,False,"{'a': 0.4, 'e': 0.9535537596522975}",20,0,-43.277927785079,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.4, 'e': 0.9511698752531668}",25,0,-127.72536449362481,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.4, 'e': 0.948791950565034}",35,0,-174.9943373861192,"{0: 20, 1: 4, 2: 8, 3: 1, 4: 2}",0
22,False,"{'a': 0.4, 'e': 0.9464199706886214}",30,0,-47.06369064408207,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
23,False,"{'a': 0.4, 'e': 0.9440539207618999}",20,0,-83.59587060492439,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.9416937859599952}",30,0,-56.08627921265836,"{0: 23, 1: 4, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.4, 'e': 0.9393395514950953}",20,0,-105.25849817239452,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
26,False,"{'a': 0.4, 'e': 0.9369912026163576}",20,0,-109.5010087498702,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
27,False,"{'a': 0.4, 'e': 0.9346487246098167}",20,0,-62.790994791901404,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
28,False,"{'a': 0.4, 'e': 0.9323121027982922}",20,0,-136.50191780521047,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
29,False,"{'a': 0.4, 'e': 0.9299813225412965}",25,0,-100.32685733911667,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
30,False,"{'a': 0.4, 'e': 0.9276563692349433}",20,0,-114.31102183260943,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.4, 'e': 0.925337228311856}",25,3,-17.850048123095483,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 0}",1
32,False,"{'a': 0.4, 'e': 0.9230238852410765}",30,2,-89.43969251778165,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 0}",1
33,False,"{'a': 0.4, 'e': 0.9207163255279738}",25,0,-143.87989093346326,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
34,False,"{'a': 0.4, 'e': 0.9184145347141539}",30,0,-207.7975215451033,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
35,False,"{'a': 0.4, 'e': 0.9161184983773686}",30,0,-72.10408052396897,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
36,False,"{'a': 0.4, 'e': 0.9138282021314252}",20,0,-204.73920053972068,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
37,False,"{'a': 0.4, 'e': 0.9115436316260968}",25,0,-120.54254422728526,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
38,False,"{'a': 0.4, 'e': 0.9092647725470315}",20,0,-60.50587458346174,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
39,False,"{'a': 0.4, 'e': 0.906991610615664}",25,0,-53.467598184487684,"{0: 18, 1: 5, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.4, 'e': 0.9047241315891249}",20,0,-107.03504269774956,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
41,False,"{'a': 0.4, 'e': 0.9024623212601521}",20,11,8.949509200929647,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.4, 'e': 0.9002061654570017}",20,0,-163.7469402902322,"{0: 8, 1: 2, 2: 8, 3: 0, 4: 2}",0
43,False,"{'a': 0.4, 'e': 0.8979556500433593}",25,0,-113.48536460981164,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
44,False,"{'a': 0.4, 'e': 0.895710760918251}",25,0,-285.89665287230383,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 6}",0
45,False,"{'a': 0.4, 'e': 0.8934714840159553}",30,0,-114.7838874972934,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.4, 'e': 0.8912378053059156}",20,0,-19.801106208299498,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
47,False,"{'a': 0.4, 'e': 0.8890097107926508}",20,0,-116.41507609648875,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.4, 'e': 0.8867871865156692}",20,9,-11.201502993014211,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.4, 'e': 0.8845702185493801}",20,0,-86.90891692025643,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
50,False,"{'a': 0.4, 'e': 0.8823587930030067}",20,0,-28.890835557902417,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
51,False,"{'a': 0.4, 'e': 0.8801528960204992}",25,0,-16.736055672460154,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.4, 'e': 0.877952513780448}",30,0,-221.7331354099635,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
53,False,"{'a': 0.4, 'e': 0.8757576324959969}",25,0,-230.36993612887207,"{0: 10, 1: 3, 2: 7, 3: 2, 4: 3}",0
54,False,"{'a': 0.4, 'e': 0.873568238414757}",20,0,-121.920347062215,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
55,False,"{'a': 0.4, 'e': 0.8713843178187202}",20,0,-116.70032767069996,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
56,False,"{'a': 0.4, 'e': 0.8692058570241734}",20,12,-18.094529373796867,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
57,False,"{'a': 0.4, 'e': 0.867032842381613}",25,0,-79.22480854259221,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.4, 'e': 0.864865260275659}",20,0,-128.99460530174164,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
59,False,"{'a': 0.4, 'e': 0.86270309712497}",25,0,-161.5366580571402,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
60,False,"{'a': 0.4, 'e': 0.8605463393821575}",20,0,-126.72661637755193,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
61,False,"{'a': 0.4, 'e': 0.8583949735337022}",30,6,-106.6775106296697,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 1}",1
62,False,"{'a': 0.4, 'e': 0.856248986099868}",30,0,-284.3949390912644,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 6}",0
63,False,"{'a': 0.4, 'e': 0.8541083636346184}",25,0,-114.59958053548162,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.8519730927255319}",20,0,-138.29688003575072,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
