trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.78444395952027,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-121.2797942301593,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,5,-56.93306741046298,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.69441127285292,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,9,-120.61306969402634,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.22454097540653,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.38239577401086,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-210.70047719813886,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.33645296900039,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-232.521638316219,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 5}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-305.6623191406484,"{0: 15, 1: 1, 2: 6, 3: 3, 4: 5}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-229.4771654998969,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 5}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.49887028067081,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-218.98098087930134,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-187.60937839412014,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.40557067503309,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.5973787748081,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.37046726606812,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.64443755681364,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.4529460296974,"{0: 17, 1: 3, 2: 5, 3: 3, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.85112156003834,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,1,-249.52025535605438,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 5}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.92727043003377,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,23,-42.65588006435853,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",35,0,-280.2950653779562,"{0: 18, 1: 4, 2: 8, 3: 0, 4: 5}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.72912753095466,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-88.68212210554543,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-108.64758905853533,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.46261273423718,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.33788609190682,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
